#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/
#dcterms:license: CC-0
#version: 2.0.0
#creator_id:
#  - https://orcid.org/0000-0002-3237-4547
#  - https://orcid.org/0000-0002-4366-3088
#  - https://orcid.org/0000-0002-8083-6048
#  - https://orcid.org/0000-0001-9625-1899
#  - https://orcid.org/0000-0001-7087-2646
#  - https://orcid.org/0000-0002-2996-719X
#  - https://orcid.org/0000-0002-6601-2165
#  - https://orcid.org/0000-0002-4236-0384
#  - https://orcid.org/0000-0001-6215-3617
#  - https://orcid.org/0000-0003-1691-239X
#  - https://orcid.org/0000-0001-9401-8460
#  - https://orcid.org/0000-0003-3770-3714
#  - https://orcid.org/0000-0001-8815-0078
#  - https://orcid.org/0000-0003-1144-0290
#creator_name:
#  - Ward Appeltans
#  - Pier Luigi Buttigieg
#  - Mariya Dimitrova
#  - Willam D. Duncan
#  - Yi-Ming Gan
#  - Raïssa Meyer
#  - Christopher Mungall
#  - Pieter Provoost
#  - Tim Robertson
#  - Thomas Stjernegaard Jeppesen
#  - Saara Suominen
#  - Maxime Sweetlove
#  - Ramona L. Walls
#  - John Wieczorek
#curie_map:
#  - dwc: http://rs.tdwg.org/dwc/terms/
#  - dwcversion: http://rs.tdwg.org/dwc/terms/version/
#  - dcterms: http://purl.org/dc/terms/
#  - dcversion: http://dublincore.org/usage/terms/history/
#  - MIXS: https://w3id.org/gensc/terms/MIXS:
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs-legacy/blob/master/mixs5/
#  - orcid: https://orcid.org/
#  - skos: http://www.w3.org/2004/02/skos/core
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	comment
dwc:verbatimCoordinates	Verbatim Coordinates	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:verbatimCoordinates	dwcversion:verbatimCoordinates-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	'original spatial coordinates of the location' is semantically broader than 'latitude and longitude'. Note that the Coordinate Reference System 'epsg:4326' must be provided explicitly in dwc:verbatimSRS in order for the mapping to be complete.
dwc:decimalLatitude	Decimal Latitude	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:decimalLatitude	dwcversion:decimalLatitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the latitude (narrower), while MIxS expects both latitude and longitude (broader)
dwc:decimalLongitude	Decimal Longitude	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:decimalLongitude	dwcversion:decimalLongitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the longitude (narrower), while MIxS expects both latitude and longitude (broader)
dwc:verbatimLatitude	Verbatim Latitude	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:verbatimLatitude	dwcversion:verbatimLatitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the latitude (narrower), while MIxS expects both latitude and longitude (broader)
dwc:verbatimLongitude	Verbatim Longitude	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:verbatimLongitude	dwcversion:verbatimLongitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the longitude (narrower), while MIxS expects both latitude and longitude (broader)
dwc:verbatimDepth	Verbatim Depth	https://dwc.tdwg.org/list/#dcterms_Location	skos:exactMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:verbatimDepth	dwcversion:verbatimDepth-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-08	1	Both terms focus on a depth/vertical distance *below* some surface. Note that in Darwin Core, according to best practices, depth is measured in water from an air-water surface, while in other media the corresponding terms are dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAboveSurfaceInMeters, where the values would be negative for depth. Thus, for a sediment at the bottom of a lake, there would be an elevation of the lake surface, the depth of the top of the sediment in the lake, and minimum and maximum distances below the sediment surface within which a sample was taken.
dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:minimumDistanceAboveSurfaceInMeters	dwcversion:minimumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-08	1	dwc:minimumDistanceAboveSurfaceInMeters is broader than MIxS:depth as it allows for both altitude and depth values (using positive and negative values, respectively), while the MIxS:depth definition only allows for depth ("below" the surface). Note that this competes with the MIxS:depth field allowing ranges or single points, while DwC expects only the upper depth/lower altitude limit (this could also be used to justify a broadMatch predicate). However, in this mapping we made the conscious decision to view the flipping between altitude and depth as more consequential. This is a matter of choice rather than an objective rationale. Note that in Darwin Core, according to best practices, depth is measured in water from an air-water surface, while in other media the corresponding terms are dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAboveSurfaceInMeters, where the values would be negative for depth. Thus, for a sediment at the bottom of a lake, there would be an elevation of the lake surface, the depth of the top of the sediment in the lake, and minimum and maximum distances below the sediment surface within which a sample was taken.
dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:maximumDistanceAboveSurfaceInMeters	dwcversion:maximumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	dwc:maximumDistanceAboveSurfaceInMeters is broader than MIxS:depth as it allows for both altitude and depth values (using positive and negative values, respectively), while the MIxS:depth definition only allows for depth ("below" the surface). Note that this competes with the MIxS:depth field allowing ranges or single points, while DwC expects only the lower depth/upper altitude limit (this could also be used to justify a broadMatch predicate). However, in this mapping we made the conscious decision to view the flipping between altitude and depth as more consequential. This is a matter of choice rather than an objective rationale. Note that in Darwin Core, according to best practices, depth is measured in water from an air-water surface, while in other media the corresponding terms are dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAboveSurfaceInMeters, where the values would be negative for depth. Thus, for a sediment at the bottom of a lake, there would be an elevation of the lake surface, the depth of the top of the sediment in the lake, and minimum and maximum distances below the sediment surface within which a sample was taken.
dwc:minimumDepthInMeters	Minimum Depth In Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:minimumDepthInMeters	dwcversion:minimumDepthInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	The DwC term specifically addresses a range of depths, for which this term gives the minimum depth, whereas the MIxS term does not specify that it is about a depth range (expecting either a single depth measurement or a range)
dwc:maximumDepthInMeters	Maximum Depth In Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:maximumDepthInMeters	dwcversion:maximumDepthInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	The DwC term specifically addresses a range of depths, for which this term gives the maximum depth, whereas the MIxS term does not specify that it is about a depth range (expecting either a single depth measurement or a range)
