#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/
#dcterms:license: CC-0
#version: 2.0.0
#creator_id:
#  - https://orcid.org/0000-0002-3237-4547
#  - https://orcid.org/0000-0002-4366-3088
#  - https://orcid.org/0000-0002-8083-6048
#  - https://orcid.org/0000-0001-9625-1899
#  - https://orcid.org/0000-0001-7087-2646
#  - https://orcid.org/0000-0002-2996-719X
#  - https://orcid.org/0000-0002-6601-2165
#  - https://orcid.org/0000-0002-4236-0384
#  - https://orcid.org/0000-0001-6215-3617
#  - https://orcid.org/0000-0003-1691-239X
#  - https://orcid.org/0000-0001-9401-8460
#  - https://orcid.org/0000-0003-3770-3714
#  - https://orcid.org/0000-0001-8815-0078
#  - https://orcid.org/0000-0003-1144-0290
#creator_name:
#  - Ward Appeltans
#  - Pier Luigi Buttigieg
#  - Mariya Dimitrova
#  - Willam D. Duncan
#  - Yi-Ming Gan
#  - Raïssa Meyer
#  - Christopher Mungall
#  - Pieter Provoost
#  - Tim Robertson
#  - Thomas Stjernegaard Jeppesen
#  - Saara Suominen
#  - Maxime Sweetlove
#  - Ramona L. Walls
#  - John Wieczorek
#curie_map:
#  - dwc: http://rs.tdwg.org/dwc/terms/
#  - dwcversion: http://rs.tdwg.org/dwc/terms/version/
#  - dcterms: http://purl.org/dc/terms/
#  - dcversion: http://dublincore.org/usage/terms/history/
#  - MIXS: https://w3id.org/mixs/
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs-legacy/blob/master/mixs5/
#  - orcid: https://orcid.org/
#  - skos: http://www.w3.org/2004/02/skos/core
subject_id	subject_label	subject_category	syntax_predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	syntax_comment
dwc:verbatimCoordinates	Verbatim Coordinates	https://dwc.tdwg.org/list/#dcterms_Location	skos:relatedMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:verbatimCoordinates	dwcversion:verbatimCoordinates-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	The DwC term expects a verbatim input (so anything really), whereas MIxS expects decimal degrees input as {float} {float}. Any verbatim terms in DwC are matched with relatedMatch to more prescribed terms in MIxS, as they can have free text (or any other string-based value) as syntax. 
dwc:decimalLatitude	Decimal Latitude	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:decimalLatitude	dwcversion:decimalLatitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	The DwC term expects decimal degrees, and so does MIxS - however, the DwC term expects one value, while MIxS expects two
dwc:decimalLongitude	Decimal Longitude	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:decimalLongitude	dwcversion:decimalLongitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	The DwC term expects decimal degrees, and so does MIxS - however, the DwC term expects one value, while MIxS expects two
dwc:verbatimLatitude	Verbatim Latitude	https://dwc.tdwg.org/list/#dcterms_Location	skos:relatedMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:verbatimLatitude	dwcversion:verbatimLatitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-03-30	1	MIxS expects two input values in decimal degrees, while DwC only expects one as verbatim (so anything really). Any verbatim terms in DwC are matched with relatedMatch to more prescribed terms in MIxS, as they can have free text (or any other string-based value) as syntax. 
dwc:verbatimLongitude	Verbatim Longitude	https://dwc.tdwg.org/list/#dcterms_Location	skos:relatedMatch	MIXS:0000009	lat_lon	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:verbatimLongitude	dwcversion:verbatimLongitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-03-30	1	MIxS expects two input values in decimal degrees, while DwC only expects one as verbatim (so anything really). Any verbatim terms in DwC are matched with relatedMatch to more prescribed terms in MIxS, as they can have free text (or any other string-based value) as syntax. 
dwc:verbatimDepth	Verbatim Depth	https://dwc.tdwg.org/list/#dcterms_Location	skos:relatedMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:verbatimDepth	dwcversion:verbatimDepth-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	The DwC term expects a verbatim input (so anything really), while MIxS expects a {float} {unit} entry in meters. Any verbatim terms in DwC are matched with relatedMatch to more prescribed terms in MIxS, as they can have free text (or any other string-based value) as syntax. 
dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:minimumDistanceAboveSurfaceInMeters	dwcversion:minimumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	The example offered by DwC does not include the unit 'meter' as part of the entry in the field, whereas the MIxS syntax would expect the unit to be added. The numeric/float values in the DwC fields are subsumed in / contained in the more complex alphanumeric string values (which includes the units) in the MIxS fields.
dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:maximumDistanceAboveSurfaceInMeters	dwcversion:maximumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	The example offered by DwC does not include the unit 'meter' as part of the entry in the field, whereas the MIxS syntax would expect the unit to be added. The numeric/float values in the DwC fields are subsumed in / contained in the more complex alphanumeric string values (which includes the units) in the MIxS fields.
dwc:minimumDepthInMeters	Minimum Depth In Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:minimumDepthInMeters	dwcversion:minimumDepthInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	1	DwC expects only the value {float}, whereas the MIxS syntax expects the value and the unit to be added {float} {unit}. Thus, the numeric/float values in the DwC fields are subsumed in / contained in the more complex alphanumeric string values (which includes the units) in the MIxS fields.
dwc:maximumDepthInMeters	Maximum Depth In Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000018	depth	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:maximumDepthInMeters	dwcversion:maximumDepthInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	1	DwC expects only the value {float}, whereas the MIxS syntax expects the value and the unit to be added {float} {unit}. Thus, the numeric/float values in the DwC fields are subsumed in / contained in the more complex alphanumeric string values (which includes the units) in the MIxS fields.
